"","source","listed_count","verified","user_created_at","statuses_count","followers_count","friends_count"
"204","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",28,FALSE,"Mon Jan 05 11:03:16 +0000 2009",53003,2721,4994
"205","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",223,FALSE,"Fri Aug 26 01:23:35 +0000 2016",42379,7447,1461
"206","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Fri Jan 10 11:08:57 +0000 2014",7207,496,323
"207","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",56,FALSE,"Wed Mar 11 18:28:45 +0000 2009",3549,1162,1307
"208","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Mon Oct 16 07:43:18 +0000 2017",1052,19,166
"209","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",11,FALSE,"Fri Jul 14 22:55:59 +0000 2017",13669,1275,2967
"210","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",20,FALSE,"Sun Aug 26 06:27:35 +0000 2012",28194,594,335
"211","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,FALSE,"Sun Dec 01 12:49:15 +0000 2013",25343,208,296
"212","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",39,FALSE,"Fri Dec 30 10:58:39 +0000 2011",126448,699,802
"213","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",171,FALSE,"Wed Mar 18 23:20:49 +0000 2009",96418,2579,4220
"214","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",82,FALSE,"Wed Feb 04 10:35:58 +0000 2009",82733,1742,2467
"215","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",43,FALSE,"Tue Feb 25 22:42:12 +0000 2014",15211,500,664
"216","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",62,FALSE,"Fri Apr 24 11:31:50 +0000 2009",80563,3433,3767
"217","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",2,FALSE,"Mon Jun 26 06:45:17 +0000 2017",25091,747,1037
"218","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,FALSE,"Mon Jan 23 06:46:26 +0000 2017",19055,825,1580
"219","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",38,FALSE,"Fri Feb 11 13:06:10 +0000 2011",2206,1037,989
"220","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",21,FALSE,"Sun Oct 30 16:51:42 +0000 2011",17105,162,314
"221","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",3,FALSE,"Thu Oct 31 11:04:42 +0000 2013",4266,68,217
"222","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",1,FALSE,"Fri Jun 19 23:43:27 +0000 2009",4036,32,36
"223","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Tue Mar 27 19:32:29 +0000 2018",1141,27,24
