"","Url_linked","Mentions","RT","No_ofwords","Hashtags","No_ofchars","Comma","Exclamations"
"151",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"152",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"153",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"154",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"155",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"156",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"157",TRUE,FALSE,FALSE,"Between 11 and 18","Two or more","Between 91 and 135",FALSE,FALSE
"158",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"159",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"160",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"161",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"162",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"163",TRUE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"164",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"165",TRUE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"166",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"167",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"168",FALSE,TRUE,TRUE,"More than 18","One","More than 135",TRUE,FALSE
"169",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","90 or lesser",FALSE,FALSE
"170",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"171",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"172",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"173",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"174",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"175",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"176",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"177",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"178",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,TRUE
"179",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"180",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"181",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"182",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"183",TRUE,TRUE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"184",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"185",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","90 or lesser",FALSE,FALSE
"186",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"187",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",TRUE,FALSE
"188",FALSE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"189",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"190",TRUE,TRUE,TRUE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"191",TRUE,FALSE,FALSE,"More than 18","Two or more","More than 135",FALSE,FALSE
"192",TRUE,FALSE,FALSE,"More than 18","Zero","Between 91 and 135",FALSE,FALSE
"193",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
