,Url_linked,Mentions,RT,No_ofwords,Hashtags,No_ofchars,Comma,Exclamations,Credibility
281,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,NC
282,FALSE,TRUE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,LC
283,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
284,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
285,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
286,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,NC
287,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
288,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,TRUE,LC
289,FALSE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,LC
290,TRUE,FALSE,FALSE,Less than or equal to 10,Zero,90 or lesser,FALSE,FALSE,LC
291,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,TRUE,FALSE,LC
